timestamps,TP9,AF7,AF8,TP10,Right AUX
1763445277.181,-133.301,-82.031,-106.445,-148.926,0.000
1763445277.185,-341.309,-123.535,-139.648,-319.336,0.000
1763445277.189,-369.141,-134.277,-159.180,-361.328,0.000
1763445277.193,-320.312,-122.070,-166.016,-313.477,0.000
1763445277.197,-278.809,-125.488,-155.762,-257.812,0.000
1763445277.201,-243.652,-136.230,-151.855,-229.492,0.000
1763445277.205,-212.402,-119.141,-177.246,-216.797,0.000
1763445277.209,-194.336,-90.820,-199.707,-198.730,0.000
1763445277.213,-229.004,-108.887,-174.805,-215.820,0.000
1763445277.216,-250.000,-127.441,-146.973,-231.445,0.000
1763445277.220,-210.938,-118.164,-137.207,-208.008,0.000
1763445277.224,-170.410,-104.004,-143.555,-186.523,0.000
